CAS,R,SMILES,PBT_label
385-14-8,n,c1ccc2c(c1)c1ccccc1c1c2c2cccc3ccc4cccc1c4c23,1
386-17-4,pr,Ic1cc(cc(I)c1O)C1(OC(=O)c2ccccc12)c1cc(I)c(O)c(I)c1,1
388-72-7,n,Fc1cccc2c1ccc1cc3ccccc3cc21,1
414-29-9,n,c1ccc2cc3c(cc2c1)c1ccccc1c1ccccc31,1
423-50-7,pr,FC(F)(C(F)(F)C(F)(F)S(=O)(=O)F)C(F)(F)C(F)(F)C(F)(F)F,1
423-55-2,pr,FC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Br)C(F)(F)C(F)(F)F,1
423-62-1,pr,FC(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I,1
423-82-5,pr,C=CC(=O)OCCN(CC)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1
423-86-9,pr,C=CCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1
434-16-2,pr,CC(C)CCCC(C)C1CCC2C3=CC=C4CC(O)CCC4(C)C3CCC12C,1
436-05-5,pr,COc1cc2CCN(C)[C@H]3Cc4ccc(cc4)Oc4c5c(CCN(C)[C@H]5Cc5ccc(O)c(c5)Oc1cc23)cc(OC)c4O,1
465-73-6,pr,ClC1=C(Cl)C2(Cl)C3C4C=CC(C4)C3C1(Cl)C2(Cl)Cl,1
467-83-4,pr,CCC(=O)C(CC(C)N1CCCCC1)(c1ccccc1)c1ccccc1,1
470-06-4,n,CC1CCC2(OC1)OC1CC3C4CC=C5CC(O)CCC5(C)C4CCC3(C)C1C2C,1
470-07-5,n,CC1CCC2(OC1)OC1CC3C4CCC5CC(=O)CCC5(C)C4CCC3(C)C1C2C,1
472-37-7,n,CC(C)c1cc2CCC3C(C)(C)C(=O)CCC3(C)c2cc1O,1
472-39-9,n,C=CC1(C)CCC2C(=C1)CCC1C(C)(C=O)CCCC21C,1
