SMILES,PBT_label
O=P(c1ccccc1)(c1ccccc1)C(CCN1CCCC1)(c1ccccc1)c1ccccc1,1.0
Nc1c(Br)cc(Nc2cccc(Cl)c2)c2c1C(=O)c1ccccc1C2=O,1.0
CN(C)CCC=C1c2ccccc2CCc2c(Cl)cccc21,1.0
CCN(CC)c1ccc(C2(c3ccc(N(C)C)cc3N(C)C)OC(=O)c3c(Cl)c(Cl)c(Cl)c(Cl)c32)c(C)c1,1.0
O=c1[nH]c2cc(Cl)ccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,1.0
CC(C)(c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1)c1ccc(Oc2cccc3c2C(=O)OC3=O)cc1,1.0
CCCCC1=CC(C)(C)N(C(=O)CN(C)Cc2ccccc2)C(C)(C)C1,1.0
Cc1ccccc1N1CN(c2ccccc2C)CN(c2ccccc2C)C1,1.0
CC(C)N(CCCN1CCCCc2ccccc21)C(C)C,1.0
CCc1cc(Cl)c(CC)c(CC)c1Cl,1.0
O=C(NCCc1ccc(OC(=O)C(F)(F)C(F)(F)C(F)(F)F)cc1)C(F)(F)C(F)(F)C(F)(F)F,1.0
CC1(C)CC(N=C=O)CC(C)(CNC(=O)NCC2(C)CC(N=C=O)CC(C)(C)C2)C1,1.0
O=S(=O)(Cl)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.0
O=C(NC(Cc1ccc(O)cc1)C(=O)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)OCc1ccccc1,1.0
CN(C)c1cccc2c(S(=O)(=O)Oc3ccc(OS(=O)(=O)c4cccc5c(N(C)C)cccc45)cc3)cccc12,1.0
COc1cc2oc3c(C)c(=O)cc4oc(-c5ccccc5)cc(c2c2c1CCC(c1ccccc1)O2)c43,1.0
COc1c2c(c(CCCOC(=O)c3ccc([N+](=O)[O-])cc3)c3c1C=CC(C)(C)O3)OC(C)(C)C=C2,1.0
Brc1cc2c(Br)c(Br)c(Br)cc2c(Br)c1Br,1.0
Cc1c(C)c(C)c(CC(C)(C)C)c(C)c1C,1.0
O=P(O)(O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.0
Oc1c(Br)cc(Br)cc1Cc1cc(Br)cc(Br)c1O,1.0
Nc1cccc2c1-c1ccc3c4cc(N)c5c6c(ccc(c7ccc(c1c73)C2=O)c64)C(=O)c1ccccc1-5,1.0
OC(Cc1ccccc1)(Cc1ccccc1)c1ccccc1CC(O)(Cc1ccccc1)C1CCCCN1,1.0
C=C(C)C(=O)OCc1c(Cl)c(Cl)c(COC(=O)C(=C)C)c(Cl)c1Cl,1.0
Brc1cccc(Br)c1-c1c(Br)cccc1Br,1.0
C=CC(=O)OCc1c(Br)c(Br)c(Br)c(Br)c1Br,1.0
Brc1ccccc1CCc1ccccc1Br,1.0
Cc1c2ccc3ccccc3c2nc2c1ccc1ccccc12,1.0
CSc1c2ccccc2cc2c1ccc1ccccc12,1.0
CN(C)c1ccc(C=Cc2c3ccccc3nc3ccc4ccccc4c23)cc1,1.0
CC(C)c1ccc2cc3c(ccc4ccccc43)cc2c1,1.0
Nc1c2ccc3ccccc3c2cc2ccc3ccccc3c12,1.0
CCC(C)(C)c1ccc(Oc2ccc(N)cc2C(=O)Nc2ccc(NNC(C)=O)cc2)c(C(C)(C)CC)c1,1.0
CN1C(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(Oc5cccc6c5C(=O)N(C)C6=O)cc4)cc3)cc2C1=O,1.0
Oc1c(Br)cc(Br)c2ccc3nc4c(ccc5c(Br)cc(Br)c(O)c54)nc3c12,1.0
C1=C(CCN2CCC34CCCCC3C2Cc2ccccc24)CCCC1,1.0
CCC1CCc2ccc(OC)cc2C1(C)CCN(C)C,1.0
CN(C)CCC=C1c2cc(Br)ccc2Sc2ccc(Br)cc21,1.0
FC(F)(F)c1cccc(C2CCC(N3CCCCC3)CC2)c1,1.0
CC(C)N(CCCOC(=O)N1c2ccccc2Sc2ncccc21)C(C)C,1.0
CCN(CC)CCOC(=O)C(c1ccc2ccccc2c1)c1ccc2ccccc2c1,1.0
CCC(OC(=O)c1ccccc1)C(c1ccccc1)(c1ccccc1)C(C)CN(C)C,1.0
COc1cc2c(cc1OC)C(CCc1cc(Cl)c(Cl)cc1Cl)N(C)CC2,1.0
CN(C)C1CCCc2c(Cc3cccc(Cl)c3)ccc(Cl)c21,1.0
CN(C)CCCc1cc(Cl)ccc1Sc1ccc(Cl)cc1,1.0
CN1CCN(C2Cc3ccccc3Sc3c2cccc3C(C)(C)C)CC1,1.0
CC(C)c1ccccc1OC(C)(C)N(CCCl)Cc1ccccc1,1.0
O=C(Cl)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.0
c1ccc2c(c1)CCc1ccccc1C21OCC(CN2CCCCC2)O1,1.0
CC(C)(CO)CC(C)(C)c1nc2sc(C(C)(C)CC(C)(C)CO)nc2s1,1.0
O=C(OCc1ccc(Cl)c(Cl)c1)OCc1ccc(Cl)c(Cl)c1,1.0
FC(F)(Br)C(F)(F)CCCCCCBr,1.0
C=C(C)C(=O)OCCOCCOc1ccc(C(C)(C)c2ccc(OCCOC(=O)C(=C)C)cc2)cc1,1.0
CC1CC(C)(C)N(CCSc2nc3ccccc3s2)c2ccc(C=C(C#N)C#N)cc21,1.0
Cc1ccc(C(c2ccc(C)c(C)c2)(C(F)(F)F)C(F)(F)F)cc1C,1.0
FC(F)C(F)(F)COP1(OCC(F)(F)C(F)F)=NP(Cl)(Cl)=NP(OCC(F)(F)C(F)F)(OCC(F)(F)C(F)F)=N1,1.0
O=C1OC(=O)c2c1c1sc3ccccc3c1c1sc3ccccc3c21,1.0
OCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,1.0
CCNc1ccc(C(c2ccc(NCC)c(C)c2)c2ccccc2Cl)cc1C,1.0
CC(CCCC(C)(C)O)CC(C1C=Nc2ccccc21)C1C=Nc2ccccc21,1.0
Clc1ccc2c(Cl)cc(Cl)c(Cl)c2c1,1.0
O=C1c2c(Cl)c(Cl)c(Cl)c(Cl)c2C(=O)N1C1CCCCCCC1,1.0
O=S(=O)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)C(F)(F)F,1.0
CC1=NC(c2ccccc2)N(C(=O)NCC2(C)CC(NC(=O)N3CC(C)=NC3c3ccccc3)CC(C)(C)C2)C1,1.0
c1ccc2c(c1)c1cccc3sc4cccc2c4c31,1.0
CCc1cc(Cl)c(O)c(Sc2cc(CC)cc(Cl)c2O)c1,1.0
N#CC(C(=O)Nc1ccc(Cl)cc1)=c1[nH]c(=C(C#N)C(=O)Nc2ccc(Cl)cc2)c2ccccc12,1.0
CC(CN(c1ccccc1)c1ccc2ccccc2c1)CC(C)(C)C,1.0
CC1=Cc2ccccc2OC12C=Cc1ccc(N3CCOCC3)cc1O2,1.0
CN(C)CCCC(c1ccccc1)c1ccc(C(C)(C)C)cc1,1.0
CC1(C)CC(C(=O)OCC2CCC(COC(=O)C3CC(C)(C)NC(C)(C)C3)CC2)CC(C)(C)N1,1.0
CC(C)n1nc2c(-c3ccc4c5c(n(C)nc35)-c3ccccc3C4=O)ccc3c2c1-c1ccccc1C3=O,1.0
COc1ccc(-c2[nH]c(-c3ccccc3Cl)nc2-c2ccccc2Cl)cc1OC,1.0
CCC(C)COC(=O)Nc1ccc(Cc2ccc(NC(=O)OCC(C)CC)cc2)cc1,1.0
Cc1ccc(-c2cc(-c3cccc([N+](=O)[O-])c3)cc(-c3ccc([N+](=O)[O-])cc3)n2)cc1,1.0
Cc1cc(C(C)(C)C)cc(C(C)(C)CC(C)(C)C)c1O,1.0
Clc1cc(Cl)c2c(c1)Oc1cc(Cl)c(Cl)c(Cl)c1O2,1.0
CCN(CC)c1ccc2c(c1)Oc1cc(C)ccc1C21OC(=O)c2ccccc21,1.0
