SMILES,PBT_label
CCCCCCCCCCCCCCCCCCc1ccccc1S(=O)(=O)O,0.0
Nc1ccc(Cl)c(Cl)c1,0.0
O=[N+]([O-])c1ccc(Oc2ccc(Cl)cc2Cl)cc1,1.0
Brc1cc(Br)c(Oc2cc(Br)c(Br)cc2Br)c(Br)c1,1.0
COc1ccc2cc1Oc1ccc(cc1)CC1c3cc(c(OC)cc3CCN1C)Oc1c(OC)c(OC)cc3c1C(C2)N(C)CC3,1.0
CCC(C)C(NC(=O)OCc1ccccc1)C(=O)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,1.0
Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,1.0
c1ccc2sc(SN(C3CCCCC3)C3CCCCC3)nc2c1,1.0
CC=CCC,0.0
CCc1ccc2c(c1)N(CC(C)CN(C)C)c1ccccc1S2,1.0
N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,0.0
CC(=O)OC1CCC2(C)C(CCC3C2CCC2(C)C3CC3OC4(CCC(C)CO4)C(C)C32)C1,1.0
O=C(O)C(Cl)Cl,0.0
CN(C)CCCNCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.0
ClC1=C(Cl)C2(Cl)C3C4C=CC(C4)C3C1(Cl)C2(Cl)Cl,1.0
CCC1(C)C=C2CCC3C(C)(C(=O)OC)CCCC3(C)C2CC1,1.0
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,1.0
Cc1c2ccccc2cc2ccc3ccccc3c12,1.0
ClC1=C(Cl)C2(Cl)C3CCC4C(CCC3C1(Cl)C2(Cl)Cl)C1(Cl)C(Cl)=C(Cl)C4(Cl)C1(Cl)Cl,1.0
Oc1ccc(Cl)c(O)c1,0.0
O=P(O)(O)O,0.0
Cc1cccc(Cl)c1C,0.0
CCCC(Cl)CCCC(Cl)CCC(Cl)CCC(Cl)CCC(Cl)CCCC(Cl)CCC,1.0
CC(C)(C)c1cc(-n2nc3ccc(Cl)cc3n2)c(O)c(C(C)(C)C)c1,1.0
CCNCC,0.0
Cc1cc2ccccc2c2cc3ccc4ccccc4c3cc12,1.0
